Dy,BART,BARTp,BARTpadj,CCT,CCTn,CCTnadj,CCTr,CCTradj,DFEss,DFEr,DFD,DFDr,LOT,LOTr,LOTcv,MT,MTr,VRTTT,GABS,SOEP,SOEPdri,SOEPfin,SOEPrec,SOEPocc,SOEPhea,SOEPsoc,Deth,Dinv,Dgam,Dhea,Drec,Dsoc,Deth_r,Dinv_r,Dgam_r,Dhea_r,Drec_r,Dsoc_r,Deth_b,Dinv_b,Dgam_b,Dhea_b,Drec_b,Dsoc_b,PRI,PRIw,BIS1att,BIS1mot,BIS1ctr,BIS1com,BIS1per,BIS1ins,BISa,BISm,BISn,BIS,SStas,SSexp,SSdis,SSbor,SSSV,age,sex,loc,ses,NUM,gen_valence,gen_arousal,gen_arouspos,gen_arousneg,gen_happy,gen_afraid,gen_sad,gen_angry,gen_motivat,gen_concentr,gen_timepr,gen_tired,pre_valence,pre_arousal,pre_arouspos,pre_arousneg,pre_happy,pre_afraid,pre_sad,pre_angry,pre_motivat,pre_concentr,pre_timepr,pre_tired,mid1_valence,mid1_arousal,mid1_arouspos,mid1_arousneg,mid1_happy,mid1_afraid,mid1_sad,mid1_angry,mid1_motivat,mid1_concentr,mid1_timepr,mid1_tired,mid2_valence,mid2_arousal,mid2_arouspos,mid2_arousneg,mid2_happy,mid2_afraid,mid2_sad,mid2_angry,mid2_motivat,mid2_concentr,mid2_timepr,mid2_tired,post_valence,post_arousal,post_arouspos,post_arousneg,post_happy,post_afraid,post_sad,post_angry,post_motivat,post_concentr,post_timepr,post_tired,ABCTEU_OS,ABCTEU_CS,ABCTEU_DEV,ABCTEU_BIC,ABCT4P_OS,ABCT4P_PW,ABCT4P_LA,ABCT4P_CS,ABCT4P_DEV,ABCT4P_BIC,ABCT6P_OSg,ABCT6P_OSl,ABCT6P_PWg,ABCT6P_PWl,ABCT6P_LA,ABCT6P_CS,ABCT6P_DEV,ABCT6P_BIC,ABCTRN_DEV,MPLEU_OS,MPLEU_CS,MPLEU_DEV,MPLEU_BIC,MPL4P_OS,MPL4P_PW,MPL4P_LA,MPL4P_CS,MPL4P_DEV,MPL4P_BIC,MPL6P_OSg,MPL6P_OSl,MPL6P_PWg,MPL6P_PWl,MPL6P_LA,MPL6P_CS,MPL6P_DEV,MPL6P_BIC,MPLRN_DEV,CCTEU_OS,CCTEU_CS,CCTEU_DEV,CCTEU_BIC,CCT3P_OS,CCT3P_PW,CCT3P_LA,CCT3P_DEV,CCT3P_BIC,CCT4P_OS,CCT4P_PW,CCT4P_LA,CCT4P_CS,CCT4P_DEV,CCT4P_BIC,CCT6P_OSg,CCT6P_OSl,CCT6P_PWg,CCT6P_PWl,CCT6P_LA,CCT6P_CS,CCT6P_DEV,CCT6P_BIC,CCTRN_mp,CCTRN_DEV,CCTRN_BIC,BARTRN_pm,BARTRN_DEV,BARTRN_BIC,BART1_OS,BART1_alpha,BART1_mu,BART1_LA,BART1_CS,BART1_DEV,BART1_BIC,BART3_OS,BART3_alpha,BART3_mu,BART3_CS,BART3_DEV,BART3_BIC
35,36.86,36.86,39.56,411,411,215,0.1855081,0.24315955,28,0.38,0.75,0.75,0.54,0.54,0.32,0.7039800995024875,0.7039800995024875,9.56,1,7,1,3,8,7,8,11,2.25,1,1,3.5,3.375,3.625,4,3.5,5,2.875,3.375,1.75,2.75,1,1,1.875,3.125,3.125,3,19,12,18,16,14,9,8,20,27,30,77,19,20,14,15,68,26,0,0,6,2,67,44,72,34,61,15,36,16,65,58,55,81,55,38,12,9,59,5,16,4,64,66,43,62,47,57,12,10,44,5,5,6,59,72,7,84,40,61,15,9,48,2,4,7,48,62,7,93,44,70,4,34,50,0,9,15,6,82,21,96,0.56179216,0.87285563,53.331758,61.155804,0.64710573,0.75771432,1.2208485,0.71140062,51.302511,66.950603,0.93043672,0.52701812,0.79119204,0.72581827,10,0.18249779,48.841683,72.313821,69.314718,0.65548102,0.45507855,68.405191,76.7845,2.964487,2.0143209,7.3034033,8.3736266e-5,24.701155,41.459774,0.86296728,1.1804724,1.5729215,0.23600682,0.61098006,1.2151443,22.159484,47.297412,91.495428,0.05407737,3.986681,235.17634,244.03797,0.06804438,0.24681912,0.61663566,201.70829,215.00074,0.068030658,0.24678992,0.61664948,10,201.70829,219.43156,0.086857526,0.0094305345,0.19585254,0.43348643,0.45654497,10,201.37343,227.95834,0.92776954,229.8121,234.24291,0.97385216,416.77281,420.14011,0.57037056,114.42541,114.48484,7.9231051,10,144.765,161.60148,0.70929372,206.04078,206.81689,0.10982862,146.71022,160.1794
37,33.1,33.1,35.48,349,349,195,0.18011335,0.20962817,24,0.5,0.5,0.5,0.5,0.5,0.34,0.7649253731343285,0.7649253731343285,10.85,0,8,7,2,5,7,8,7,3.125,1,1,3.875,2.5,3.25,2.75,4,4.25,2.5,2.625,2,3.75,1,1.25,2.75,2.5,2,5,25,11,17,17,14,11,5,16,28,31,75,16,18,15,11,60,24,0,0,5,1,20,39,54,53,56,19,56,41,71,54,30,59,74,29,20,30,47,18,39,10,69,59,19,61,19,69,16,75,34,33,15,79,63,82,63,30,55,80,41,57,54,7,26,22,71,88,70,18,41,61,18,64,36,20,38,56,63,91,21,11,0.85442768,0.25726523,50.407193,58.231239,0.92842661,0.89832411,0.98580308,0.20007352,50.072816,65.720908,1.2130653,0.74968862,0.96650401,0.79816919,10,0.061906981,45.474486,68.946624,69.314718,0.4670328,1.4904577,63.680678,72.059987,0.52904923,0.35688272,1.3463269,6.3619609,22.799928,39.558547,0.43999651,0.33601419,0.66125219,0.025753666,2.7142825,10,19.949995,45.087924,91.495428,0.013232985,2.4209178,314.17498,323.03662,0.035229806,1.4803103e-10,0.24963464,219.14361,232.43606,0.035225075,7.2222228e-11,0.24964592,10,219.14361,236.86687,1.5104666e-7,0.2963784,0.0031661379,0.036048748,0.54154287,9.9999992,216.38759,242.97249,0.91601729,219.76582,224.19664,0.96997688,350.2687,353.66989,0.5911248,108.9005,109.92814,9.2250603,9.8937883,157.62821,174.63419,0.49599742,115.72635,116.93874,0.19085585,156.70826,170.31305
37,37.03,37.03,38.1,507,507,250,0.23490328,0.26391171,4.62,0.38,0.75,0.75,0.4,0.4,0.36,0.7462686567164181,0.7462686567164181,7.88,0,5,5,5,8,6,5,4,1.5,3,1,2.5,2.875,3.125,3.75,3,5,4,3.75,2.625,2.5,2.25,1,1.5,2.5,2.625,4,18,8,15,10,11,6,5,13,21,21,55,18,18,14,12,62,24,1,0,8,3,59,36,80,14,63,0,21,10,66,40,31,37,60,39,39,0,49,0,0,0,69,61,29,71,60,59,60,0,40,0,0,0,65,80,31,10,30,72,42,58,47,0,2,59,43,39,57,44,49,30,62,0,55,0,0,0,31,29,0,74,0.9124891,0.18425884,49.092603,56.916649,0.60063,1.7533917,2.3145355,0.56600179,38.564544,54.212636,0.52662497,0.70174174,2.3543067,1.7319787,1.00811,0.73576742,38.445987,61.918125,69.314718,0.3891563,2.2888329,63.673842,72.053152,0.44624486,0.41984919,1.2986739,4.3412313,43.399973,60.158592,0.36022565,0.11465081,0.86112568,5.9323372e-7,9.998897,7.7267143,38.178435,63.316363,91.495428,1.774203e-10,3.1103754,292.83984,301.70147,0.011897756,0.14066377,0.57988398,233.57652,246.86897,0.011899781,0.1406593,0.57987324,10,233.57652,251.29979,2.7563817e-4,0.019026251,0.20631755,9.2964283e-4,0.66645359,9.3587797,232.32318,258.90808,0.93714759,253.97699,258.4078,0.96495764,710.68699,714.08819,0.92660064,438.99962,439.39475,5.8966102,7.9115289,157.19506,174.20105,0.1886437,1147.4748,1149.6626,0.15585279,150.82056,164.42535
40,41.43,41.43,47.12,387,387,265,0.16540617,0.18923688,24,0.5,0.25,0.25,0.38,0.38,0.38,0.6902985074626865,0.6902985074626865,7.13,0,8,5,5,7,6,7,7,2.875,1,1.25,3.75,2.875,4.125,2.875,3,2.5,3.125,3,1.625,2.75,1.5,1.25,1.75,2.625,2.5,7,42,11,20,17,15,9,7,18,29,32,79,17,20,16,16,69,25,0,0,5,0,85,59,82,20,85,18,17,21,76,79,65,22,68,40,66,26,74,27,20,28,69,73,13,82,78,70,68,28,69,17,24,36,77,81,63,25,83,58,58,23,79,17,12,21,66,74,60,29,61,63,55,41,71,0,8,20,43,61,68,71,1.2262076,0.044486642,48.843956,56.668002,1.279181,0.83726617,2.3341348,0.047226873,37.679778,53.32787,0.78053383,1.4840135,0.92833797,0.81952337,0.08309526,0.64443175,33.369339,56.841477,69.314718,0.31581165,0.7320109,87.200388,95.579697,0.30858765,0.31083578,1.1787747,2.0919395,84.651278,101.4099,0.098849649,0.15594186,9.999914,0.24467597,1.2254522,7.5084397,82.303293,107.44122,91.495428,0.041871666,3.4332795,258.23546,267.09709,0.023771965,0.19335797,0.86801883,252.98153,266.27398,0.023754346,0.19333419,0.86802652,10,252.98153,270.70479,1.5321078e-13,0.33339513,0.089453322,0.83603569,1.4653565,7.2700181,250.5437,277.1286,0.89169251,297.66807,302.09889,0.9723019,530.39952,533.80071,0.81297959,155.62646,157.16154,2.7438176,9.4640755,136.32669,153.33268,0.78449513,322.65704,325.86915,0.11748568,135.71652,149.32131
27,21.6,21.6,22.11,36,36,31,0.020242123,0.013100494,1.88,0.75,0.5,0.5,0.52,0.52,0.58,0.722636815920398,0.722636815920398,5.35,1,2,1,2,5,5,1,3,1.5,1,1,2,1.5,3,4.125,3.5,4.75,4.125,3.625,2.625,1.25,1.75,1.25,1,1.25,2,1,7,10,13,9,13,5,6,16,18,22,56,10,13,13,14,50,33,0,0,5,0,71,59,59,41,69,79,20,39,60,79,70,69,69,61,61,40,71,41,10,10,79,88,79,10,80,54,59,6,75,17,10,12,81,80,85,9,80,39,59,9,79,20,10,19,79,79,78,11,58,32,32,25,66,28,36,32,40,46,75,60,0.96934643,0.0064642919,69.179157,77.003203,1.5610934,0.33319553,10,6.5630226e-4,62.226744,77.874836,0.035343121,1.4658988,2.7500066,0.34030744,9.7894232,0.0011306149,61.450124,84.922262,69.314718,0.07098764,9.4368957e-15,91.495428,99.874737,1.034068,0.1525422,10,0.059041403,19.70315,36.461769,0.19099274,9.9996583,2.4324257,1.801477,1.7887913e-10,10,7.7575126,32.895441,91.495428,4.0104474,10,159.68607,168.5477,0.05030548,0.11757509,1.5118085000000001,132.17735,145.4698,0.050289657,0.11755607,1.5117747,10,132.17735,149.90061,0.032260758,0.048307667,0.23943964,5.0751907e-7,1.6951983,9.9999776,130.39554,156.98044,0.31032847,143.6953,148.12612,0.91720309,710.44605,713.84724,0.2376721,9642.6613,9949.7865,9.9896526,7.7976488,214.89474,231.90073,0.099297399,340.54028,341.44618,0.10910365,201.30773,214.91252
28,24.14,24.14,25.43,154,154,106,0.086520923,0.07939335,18.38,0.62,0.25,0.25,0.44,0.44,0.36,0.742537313432836,0.742537313432836,7.86,0,6,3,2,7,7,3,6,1.25,1.75,1,1.125,1.125,3.5,3,3,3.5,4,3.75,2,1.75,1,1,1.125,2,3.5,2,8,8,11,12,8,11,9,17,22,20,59,14,14,13,16,57,24,0,0,7,0,80,55,90,1,71,70,21,31,100,80,30,10,100,0,0,0,79,0,0,0,69,100,0,11,89,81,80,0,80,0,0,0,100,100,0,0,80,20,47,9,78,0,1,1,100,98,0,10,60,52,54,0,71,0,0,0,80,80,0,39,0.76877364,0.43378191,43.997807,51.821853,0.94885699,0.72349851,0.61794211,0.39195783,36.951164,52.599256,0.58492542,3.0449521,0.78865008,0.92961146,3.5609379e-6,2.8125934,33.657998,57.130136,69.314718,1.0064165,0.57767065,25.731157,34.110467,0.91230339,0.33840065,0.95153284,9.5939604,11.890791,28.64941,0.76440184,0.81397462,0.53799668,5.7770455e-11,0.85272448,10,10.612175,35.750103,91.495428,0.56104413,10,232.92776,241.7894,0.19544565,0.19520911,0.71052701,217.49698,230.78943,0.19541799,0.19517783,0.71054331,10,217.49698,235.22025,0.10431181,0.82280695,0.07006763,0.64515423,2.5652493,7.4590496,209.3134,235.8983,0.75488953,227.20926,231.64007,0.95255436,313.8776,317.24489,1.6244555,334.44644,344.2504,0.21583805,9.9686084,115.466,132.30247,0.51476699,691.43354,705.99114,0.51674712,114.48218,127.95137
34,37.4,37.4,38.21,340,340,126,0.17473768,0.13681895,13.88,0.38,0.625,0.625,0.62,0.62,0.58,0.7562189054726369,0.7562189054726369,9.4,1,8,4,7,8,7,8,7,2.25,3.5,4.25,3.125,4.125,4.25,3.25,2.25,2.25,3,2.375,1.625,2.25,4,3,2.125,3.875,3.75,7,43,10,19,13,9,7,5,15,26,22,63,20,14,19,15,68,26,1,0,3,2,88,35,65,19,88,20,7,4,96,82,25,21,65,15,30,3,64,0,0,0,68,64,9,66,36,41,23,73,40,0,13,65,40,43,32,59,78,29,56,14,65,0,0,0,64,76,4,23,85,12,48,0,75,0,0,4,57,78,6,41,0.014024692,0,69.314718,77.138764,0.8190428,0.23406213,0.46705148,0.30868511,58.697653,74.345745,1.1030639,0.52724198,0.26298355,0.21904677,10,0.077977338,57.736195,81.208333,69.314718,2.7005231,9.0223846e-4,22.672732,31.052042,0.62712952,3.2376898,0.6542081,4.73146,9.1861892,25.944808,0.72200782,1.1532848,2.7790147,2.2383002,0.11254967,9.9999997,3.0957604,28.233689,91.495428,0.38134267,10,280.09006,288.95169,0.18424266,0.1906622,0.24774293,207.1247,220.41715,0.18426091,0.19070005,0.24774879,10,207.1247,224.84796,0.077870082,0.73533595,0.25635801,4.7057358e-10,1.3573491,10,174.31559,200.90049,0.91398559,218.16691,222.59773,0.97999997,274.50952,277.91071,1.2986206,0.10220884,0.019252531,0.4691859,6.8406879,122.66428,139.67026,0.5320231,73.285585,74.269414,0.38030181,106.16429,119.76908
31,42.17,42.17,47.74,277,277,119,0.14679683,0.10169915,54.5,0.38,0.5,0.5,0.48,0.48,0.22,0.72636815920398,0.72636815920398,9.72,1,8,10,6,8,7,8,10,2.5,2.75,1,2.75,2.5,3.375,3.375,3,3,2.875,3.125,2.5,2.625,2.75,1.75,2,2.375,3.25,6,29,12,14,19,13,8,7,19,22,32,73,17,18,14,15,64,28,1,0,3,2,75,30,69,30,65,25,40,45,60,65,30,39,74,64,59,15,69,24,20,30,44,60,53,59,64,69,75,40,73,27,20,30,70,72,53,74,70,55,74,26,63,24,25,40,74,89,55,40,38,83,41,59,33,49,46,59,67,74,80,54,0.83776371,0.57067022,33.395018,41.219064,0.60674878,1.3324788,0.69421945,2.0963541,29.065819,44.713911,0.30785885,0.81922894,1.8196216,1.1950004,0.050001488,10,27.88348,51.355618,69.314718,0.43672392,10,16.196661,24.57597,0.41053721,1.465861,0.96128745,10,13.93677,30.695389,0.42643897,0.56873304,1.2996679,3.314416,0.34505001,10,12.781735,37.919663,91.495428,0.42437821,10,274.58357,283.44521,0.23774836,0.29662607,0.45441324,226.97406,240.26651,0.2377542,0.29664721,0.45445107,10,226.97406,244.69733,0.16874502,0.81462019,0.61151184,0.0083381798,1.9452485,10,171.34284,197.92774,0.86834264,248.52198,252.95279,0.96746566,837.71295,841.11415,1.7947159,586.26764,587.37934,0.12934648,6.8640425,149.26087,166.26686,0.53618987,175.83473,177.13841,0.11384082,154.14043,167.74522
28,32.63,32.63,33.33,468,468,277,0.21503731,0.2940179,6.88,0.62,0.5,0.5,0.48,0.48,0.48,0.757462686567164,0.757462686567164,8.3,1,3,1,1,1,4,6,4,1.875,1,1.5,2.125,1,3.375,4.125,3,4.5,4.25,4.375,2.125,1.75,1.5,1,1.75,1.125,2.375,3,17,12,9,11,9,6,9,21,15,20,56,12,14,14,14,54,27,1,0,3,2,31,59,60,58,38,30,59,60,100,41,100,100,40,19,60,0,40,0,28,59,100,99,20,80,11,79,61,72,30,43,41,69,67,98,18,99,39,28,40,69,41,0,40,69,28,30,31,87,59,41,59,42,62,28,41,37,40,70,59,72,0.069911117,1.7514858,67.547211,75.371257,0.83208577,0.33781977,2.6543116,0.085102123,63.851848,79.49994,4.0691894e-11,0.82650249,5.2928256,0.37666377,0.068201145,3.7475513,62.241697,85.713835,69.314718,0.4701848,1.2892228,67.08688,75.46619,2.0897241,2.1905462,5.1249039,0.003193509,22.39801,39.156629,0.71207601,1.0460354,2.2631313e-9,1.2268259,0.27090992,4.4597073,16.62217,41.760098,91.495428,0.0046832883,3.175761,270.64744,279.50907,0.068087876,0.20538072,0.51451109,222.01768,235.31013,0.068073938,0.20535817,0.51453666,10,222.01768,239.74095,0.05968508,1.0630563e-9,0.27223615,8.4806051e-11,0.53617666,10,221.03545,247.62035,0.9360035,237.83468,242.26549,0.95907101,809.9859,813.3871,0.62025063,449.0238,450.20338,9.8372125,7.8698364,165.0673,182.07329,0.44705759,616.32035,618.69844,0.10851761,162.32888,175.93367
34,35.73,35.73,40.45,412,412,154,0.20475573,0.19237531,18.62,0.5,0.375,0.375,0.46,0.46,0.3,0.7450248756218905,0.7450248756218905,6.53,0,7,4,4,5,3,5,3,1.625,3,2,2.5,3.5,3,2.75,2.25,2.75,2.875,2.125,1.5,2.625,3,2,1.75,4,4,3,17,9,15,11,16,10,6,15,25,27,67,18,17,15,13,63,23,1,0,5,3,89,29,69,31,89,11,11,10,89,69,10,60,79,11,53,0,89,0,10,2,89,79,0,21,83,10,53,0,62,5,0,0,82,81,0,28,69,9,58,1,78,0,0,0,70,63,1,19,89,0,22,0,74,0,0,0,70,68,0,8,0.8434905,0.33497589,44.306616,52.130662,0.54411126,1.3739981000000001,3.7122773,1.6715944,26.612499,42.260591,0.38725943,0.86161708,1.0053481,1.3678568,0.21730054,10,14.82162,38.293758,69.314718,0.78358463,0.9234418,33.816782,42.196091,0.70989828,0.26344381,0.92023118,5.1785045,18.61131,35.369929,0.63521796,0.88020527,0.4183975,1.6758817e-12,0.34298821,10,13.449372,38.5873,91.495428,0.330166,10,290.01475,298.87638,0.17557246,0.27949818,0.26295693,206.10488,219.39733,0.17557729,0.27950597,0.26293259,10,206.10488,223.82815,0.040170758,0.63849965,0.22197839,0.15084251,1.2968185,10,188.66564,215.25054,0.93424609,213.91118,218.342,0.96209142,493.39227,496.79346,1.9742397,9219.068,9234.6101,0.3232812,9.9905984,110.26967,127.27566,0.14710153,9966.2403,9998.843,0.42346251,111.01734,124.62213
