study,subject,problem,risky_choice,dom,cert,ev_risky,ev_safe,ev_diff,cv_risky,cv_safe,cv_diff,first_author,out_risky_1,out_risky_2,prob_risky_1,prob_risky_2,out_safe_1,out_safe_2,prob_safe_1,prob_safe_2
CN09b_1,1,0000000031000000002408,1,Gain,TRUE,3.2,3,0.20000000000000018,0.7999999999999996,0,0.7999999999999996,cam,4,0,0.8,0.2,3,0,1,0
CN09b_1,1,3100000000408000000002,1,Loss,TRUE,-3.2,-3,-0.20000000000000018,0.7999999999999996,0,0.7999999999999996,cam,-4,0,0.8,0.2,-3,0,1,0
CN09b_1,1,00000000310000000093201,1,Gain,TRUE,3.2,3,0.20000000000000018,28.799999999999997,0,28.799999999999997,cam,32,0,0.1,0.9,3,0,1,0
CN09b_1,1,31000000003201000000009,0,Loss,TRUE,-3.2,-3,-0.20000000000000018,28.799999999999997,0,28.799999999999997,cam,-32,0,0.1,0.9,-3,0,1,0
CN09b_1,1,00000000910000000011009,1,Gain,TRUE,9,9,0,1,0,1,cam,10,0,0.9,0.1,9,0,1,0
CN09b_1,1,10090000000019100000000,1,Loss,TRUE,-9,-9,0,1,0,1,cam,-10,0,0.9,0.1,-9,0,1,0
CN09b_1,1,00000000310000000081602,0,Gain,TRUE,3.2,3,0.20000000000000018,12.799999999999999,0,12.799999999999999,cam,16,0,0.2,0.8,3,0,1,0
CN09b_1,1,00000000110000000091101,0,Gain,TRUE,1.1,1,0.10000000000000009,9.9,0,9.9,cam,11,0,0.1,0.9,1,0,1,0
CN09b_1,1,0000000021000000008514015,0,Gain,TRUE,2.1,2,0.10000000000000009,11.899999999999999,0,11.899999999999999,cam,14,0,0.15,0.85,2,0,1,0
CN09b_1,1,0000000041000000008528015,0,Gain,TRUE,4.2,4,0.20000000000000018,23.799999999999997,0,23.799999999999997,cam,28,0,0.15,0.85,4,0,1,0
CN09b_1,3,0000000031000000002408,1,Gain,TRUE,3.2,3,0.20000000000000018,0.7999999999999996,0,0.7999999999999996,cam,4,0,0.8,0.2,3,0,1,0
CN09b_1,3,3100000000408000000002,1,Loss,TRUE,-3.2,-3,-0.20000000000000018,0.7999999999999996,0,0.7999999999999996,cam,-4,0,0.8,0.2,-3,0,1,0
CN09b_1,3,00000000310000000093201,0,Gain,TRUE,3.2,3,0.20000000000000018,28.799999999999997,0,28.799999999999997,cam,32,0,0.1,0.9,3,0,1,0
CN09b_1,3,31000000003201000000009,0,Loss,TRUE,-3.2,-3,-0.20000000000000018,28.799999999999997,0,28.799999999999997,cam,-32,0,0.1,0.9,-3,0,1,0
CN09b_1,3,00000000910000000011009,1,Gain,TRUE,9,9,0,1,0,1,cam,10,0,0.9,0.1,9,0,1,0
CN09b_1,3,10090000000019100000000,1,Loss,TRUE,-9,-9,0,1,0,1,cam,-10,0,0.9,0.1,-9,0,1,0
CN09b_1,3,00000000310000000081602,0,Gain,TRUE,3.2,3,0.20000000000000018,12.799999999999999,0,12.799999999999999,cam,16,0,0.2,0.8,3,0,1,0
CN09b_1,3,00000000110000000091101,0,Gain,TRUE,1.1,1,0.10000000000000009,9.9,0,9.9,cam,11,0,0.1,0.9,1,0,1,0
CN09b_1,3,0000000021000000008514015,0,Gain,TRUE,2.1,2,0.10000000000000009,11.899999999999999,0,11.899999999999999,cam,14,0,0.15,0.85,2,0,1,0
CN09b_1,3,0000000041000000008528015,0,Gain,TRUE,4.2,4,0.20000000000000018,23.799999999999997,0,23.799999999999997,cam,28,0,0.15,0.85,4,0,1,0
CN09b_1,5,0000000031000000002408,0,Gain,TRUE,3.2,3,0.20000000000000018,0.7999999999999996,0,0.7999999999999996,cam,4,0,0.8,0.2,3,0,1,0
